Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;28 Madrid;28030 Cabrera, La;De 75 a 79 años  ;1 de enero de 2021;98
Total;28 Madrid;28030 Cabrera, La;De 80 a 84 años  ;1 de enero de 2021;75
Total;28 Madrid;28030 Cabrera, La;De 85 a 89 años  ;1 de enero de 2021;48
Total;28 Madrid;28030 Cabrera, La;De 90 a 94 años  ;1 de enero de 2021;25
Total;28 Madrid;28030 Cabrera, La;De 95 a 99 años  ;1 de enero de 2021;12
Total;28 Madrid;28030 Cabrera, La;100 y más años;1 de enero de 2021;2
Total;28 Madrid;28034 Canencia;De 0 a 4 años;1 de enero de 2021;11
Total;28 Madrid;28034 Canencia;De 5 a 9 años;1 de enero de 2021;10
Total;28 Madrid;28034 Canencia;De 10 a 14 años  ;1 de enero de 2021;15
Total;28 Madrid;28034 Canencia;De 15 a 19 años  ;1 de enero de 2021;24
Total;28 Madrid;28034 Canencia;De 20 a 24 años;1 de enero de 2021;27
Total;28 Madrid;28034 Canencia;De 25 a 29 años;1 de enero de 2021;11
Total;28 Madrid;28034 Canencia;De 30 a 34 años;1 de enero de 2021;15
Total;28 Madrid;28034 Canencia;De 35 a 39 años;1 de enero de 2021;18
Total;28 Madrid;28034 Canencia;De 40 a 44 años;1 de enero de 2021;22
Total;28 Madrid;28034 Canencia;De 45 a 49 años;1 de enero de 2021;30
Total;28 Madrid;28034 Canencia;De 50 a 54 años;1 de enero de 2021;56
Total;28 Madrid;28034 Canencia;De 55 a 59 años;1 de enero de 2021;54
Total;28 Madrid;28034 Canencia;De 60 a 64 años;1 de enero de 2021;44
Total;28 Madrid;28034 Canencia;De 65 a 69 años;1 de enero de 2021;26
Total;28 Madrid;28034 Canencia;De 70 a 74 años  ;1 de enero de 2021;13
Total;28 Madrid;28034 Canencia;De 75 a 79 años  ;1 de enero de 2021;26
Total;28 Madrid;28034 Canencia;De 80 a 84 años  ;1 de enero de 2021;21
Total;28 Madrid;28034 Canencia;De 85 a 89 años  ;1 de enero de 2021;22
Total;28 Madrid;28034 Canencia;De 90 a 94 años  ;1 de enero de 2021;10
Total;28 Madrid;28034 Canencia;De 95 a 99 años  ;1 de enero de 2021;6
Total;28 Madrid;28034 Canencia;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28039 Cervera de Buitrago;De 0 a 4 años;1 de enero de 2021;1
